"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"CFL1;CFL2","ZMIZ2",NA,NA,NA
"CFL1;CFL2","ZNF451",NA,NA,NA
"CHD1L","LAZSUL",NA,NA,NA
"CHD1L","NSMCE2",NA,NA,NA
"CHD1L","PIAS1",NA,NA,NA
"CHD1L","PIAS2",NA,NA,NA
"CHD1L","PIAS3",NA,NA,NA
"CHD1L","PIAS4",3.67,2.82,0.57
"CHD1L","ZMIZ2",NA,NA,NA
"CHD1L","ZNF451",NA,NA,NA
"CHD4","LAZSUL",NA,NA,NA
"CHD4","NSMCE2",1.26,3,-0.68
"CHD4","PIAS1",NA,NA,NA
"CHD4","PIAS2",NA,NA,NA
"CHD4","PIAS3",NA,NA,NA
"CHD4","PIAS4",2.85,4.11,0.35
"CHD4","ZMIZ2",NA,NA,NA
"CHD4","ZNF451",NA,NA,NA
"CLK1","LAZSUL",0.71,2.47,0.29
"CLK1","NSMCE2",NA,NA,NA
"CLK1","PIAS1",NA,NA,NA
"CLK1","PIAS2",NA,NA,NA
"CLK1","PIAS3",NA,NA,NA
"CLK1","PIAS4",0.71,1.72,1.5
"CLK1","ZMIZ2",NA,NA,NA
"CLK1","ZNF451",NA,NA,NA
"CLK3","LAZSUL",NA,NA,NA
"CLK3","NSMCE2",0.85,2.35,0.89
"CLK3","PIAS1",NA,NA,NA
"CLK3","PIAS2",NA,NA,NA
"CLK3","PIAS3",NA,NA,NA
"CLK3","PIAS4",2.35,0.81,0.61
"CLK3","ZMIZ2",NA,NA,NA
"CLK3","ZNF451",NA,NA,NA
"COA1","LAZSUL",NA,NA,NA
"COA1","NSMCE2",NA,NA,NA
"COA1","PIAS1",NA,NA,NA
"COA1","PIAS2",3.45,4.45,0.88
"COA1","PIAS3",NA,NA,NA
"COA1","PIAS4",NA,NA,NA
"COA1","ZMIZ2",NA,NA,NA
"COA1","ZNF451",NA,NA,NA
"CPSF1","LAZSUL",NA,NA,NA
"CPSF1","NSMCE2",NA,NA,NA
"CPSF1","PIAS1",NA,NA,NA
"CPSF1","PIAS2",NA,NA,NA
"CPSF1","PIAS3",NA,NA,NA
"CPSF1","PIAS4",2.9,2.2,0.21
"CPSF1","ZMIZ2",NA,NA,NA
"CPSF1","ZNF451",NA,NA,NA
"CREB3L1","LAZSUL",NA,NA,NA
"CREB3L1","NSMCE2",4.47,4.87,0.52
"CREB3L1","PIAS1",NA,NA,NA
"CREB3L1","PIAS2",NA,NA,NA
"CREB3L1","PIAS3",NA,NA,NA
"CREB3L1","PIAS4",6.26,6.3,0.42
"CREB3L1","ZMIZ2",NA,NA,NA
"CREB3L1","ZNF451",NA,NA,NA
"CREB3L2","LAZSUL",NA,NA,NA
"CREB3L2","NSMCE2",5.04,3.95,0.9
"CREB3L2","PIAS1",NA,NA,NA
"CREB3L2","PIAS2",NA,NA,NA
"CREB3L2","PIAS3",NA,NA,NA
"CREB3L2","PIAS4",7.21,7.2,0.32
"CREB3L2","ZMIZ2",NA,NA,NA
