"GENE_NAME","Sumo","Diff","minLogP"
"BCL11A","ZNF451",NA,NA
"BCL11B","LAZSUL",NA,NA
"BCL11B","NSMCE2",NA,NA
"BCL11B","PIAS1",NA,NA
"BCL11B","PIAS2",NA,NA
"BCL11B","PIAS3",NA,NA
"BCL11B","PIAS4","5.57","14.31"
"BCL11B","ZMIZ2",NA,NA
"BCL11B","ZNF451",NA,NA
"BEND3","LAZSUL",NA,NA
"BEND3","NSMCE2",NA,NA
"BEND3","PIAS1",NA,NA
"BEND3","PIAS2",NA,NA
"BEND3","PIAS3",NA,NA
"BEND3","PIAS4","2.53","5.2"
"BEND3","ZMIZ2",NA,NA
"BEND3","ZNF451",NA,NA
"BEND7","LAZSUL",NA,NA
"BEND7","NSMCE2",NA,NA
"BEND7","PIAS1",NA,NA
"BEND7","PIAS2",NA,NA
"BEND7","PIAS3",NA,NA
"BEND7","PIAS4","4.9","12.71"
"BEND7","ZMIZ2",NA,NA
"BEND7","ZNF451",NA,NA
"BHLHE40","LAZSUL",NA,NA
"BHLHE40","NSMCE2","4.31","3.19"
"BHLHE40","PIAS1",NA,NA
"BHLHE40","PIAS2",NA,NA
"BHLHE40","PIAS3",NA,NA
"BHLHE40","PIAS4","5.3","5.1"
"BHLHE40","ZMIZ2",NA,NA
"BHLHE40","ZNF451",NA,NA
"BHLHE41","LAZSUL",NA,NA
"BHLHE41","NSMCE2","3.8","3.26"
"BHLHE41","PIAS1",NA,NA
"BHLHE41","PIAS2",NA,NA
"BHLHE41","PIAS3",NA,NA
"BHLHE41","PIAS4","4.27","4.21"
"BHLHE41","ZMIZ2",NA,NA
"BHLHE41","ZNF451",NA,NA
"BLM","LAZSUL",NA,NA
"BLM","NSMCE2","3.88","8.53"
"BLM","PIAS1",NA,NA
"BLM","PIAS2",NA,NA
"BLM","PIAS3",NA,NA
"BLM","PIAS4",NA,NA
"BLM","ZMIZ2",NA,NA
"BLM","ZNF451",NA,NA
"BNC2","LAZSUL",NA,NA
"BNC2","NSMCE2","4.97","3.96"
"BNC2","PIAS1",NA,NA
"BNC2","PIAS2",NA,NA
"BNC2","PIAS3",NA,NA
"BNC2","PIAS4","5.29","4.58"
"BNC2","ZMIZ2",NA,NA
"BNC2","ZNF451",NA,NA
"BNIP2","LAZSUL",NA,NA
"BNIP2","NSMCE2",NA,NA
"BNIP2","PIAS1",NA,NA
"BNIP2","PIAS2",NA,NA
"BNIP2","PIAS3",NA,NA
"BNIP2","PIAS4","3.53","3.53"
"BNIP2","ZMIZ2",NA,NA
"BNIP2","ZNF451",NA,NA
"BOP1","LAZSUL",NA,NA
"BOP1","NSMCE2",NA,NA
"BOP1","PIAS1","3.57","3.34"
"BOP1","PIAS2",NA,NA
"BOP1","PIAS3",NA,NA
"BOP1","PIAS4",NA,NA
"BOP1","ZMIZ2",NA,NA
"BOP1","ZNF451",NA,NA
"BPTF","LAZSUL",NA,NA
"BPTF","NSMCE2",NA,NA
"BPTF","PIAS1","3.9","4.92"
"BPTF","PIAS2",NA,NA
"BPTF","PIAS3",NA,NA
"BPTF","PIAS4",NA,NA
"BPTF","ZMIZ2",NA,NA
"BPTF","ZNF451",NA,NA
"BRCA1","LAZSUL",NA,NA
"BRCA1","NSMCE2","5.25","7.46"
"BRCA1","PIAS1",NA,NA
"BRCA1","PIAS2",NA,NA
"BRCA1","PIAS3",NA,NA
"BRCA1","PIAS4",NA,NA
"BRCA1","ZMIZ2",NA,NA
"BRCA1","ZNF451",NA,NA
"BUB1B","LAZSUL",NA,NA
"BUB1B","NSMCE2",NA,NA
"BUB1B","PIAS1",NA,NA
"BUB1B","PIAS2",NA,NA
"BUB1B","PIAS3",NA,NA
"BUB1B","PIAS4",NA,NA
"BUB1B","ZMIZ2","2.4","3.52"
"BUB1B","ZNF451",NA,NA
"C10orf35","LAZSUL","1.37","4.24"
"C10orf35","NSMCE2",NA,NA
"C10orf35","PIAS1",NA,NA
"C10orf35","PIAS2",NA,NA
"C10orf35","PIAS3",NA,NA
"C10orf35","PIAS4",NA,NA
"C10orf35","ZMIZ2",NA,NA
"C10orf35","ZNF451",NA,NA
"C10orf76","LAZSUL",NA,NA
"C10orf76","NSMCE2",NA,NA
"C10orf76","PIAS1",NA,NA
"C10orf76","PIAS2",NA,NA
"C10orf76","PIAS3",NA,NA
"C10orf76","PIAS4",NA,NA
"C10orf76","ZMIZ2","2.69","2.99"
"C10orf76","ZNF451",NA,NA
"C14orf1","LAZSUL",NA,NA
"C14orf1","NSMCE2","4.64","3.96"
"C14orf1","PIAS1",NA,NA
"C14orf1","PIAS2",NA,NA
"C14orf1","PIAS3",NA,NA
"C14orf1","PIAS4",NA,NA
"C14orf1","ZMIZ2","3.31","2.4"
"C14orf1","ZNF451",NA,NA
"C14orf93","LAZSUL",NA,NA
"C14orf93","NSMCE2",NA,NA
"C14orf93","PIAS1",NA,NA
"C14orf93","PIAS2",NA,NA
"C14orf93","PIAS3",NA,NA
"C14orf93","PIAS4","4.94","12.25"
"C14orf93","ZMIZ2",NA,NA
"C14orf93","ZNF451",NA,NA
"C17orf62","LAZSUL",NA,NA
"C17orf62","NSMCE2",NA,NA
"C17orf62","PIAS1",NA,NA
"C17orf62","PIAS2",NA,NA
