"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"DNAJC8","PIAS4",NA,NA,NA
"DNTTIP2","NSMCE2",6.2,6.5,0.39
"DNTTIP2","PIAS1",NA,NA,NA
"DNTTIP2","PIAS2",NA,NA,NA
"DNTTIP2","PIAS3",NA,NA,NA
"DNTTIP2","PIAS4",NA,NA,NA
"DPM1","NSMCE2",NA,NA,NA
"DPM1","PIAS1",NA,NA,NA
"DPM1","PIAS2",1.3,1.33,0.04
"DPM1","PIAS3",NA,NA,NA
"DPM1","PIAS4",NA,NA,NA
"DYNC1H1","NSMCE2",NA,NA,NA
"DYNC1H1","PIAS1",NA,NA,NA
"DYNC1H1","PIAS2",0.86,1.36,0.69
"DYNC1H1","PIAS3",NA,NA,NA
"DYNC1H1","PIAS4",NA,NA,NA
"ECE1","NSMCE2",1.86,1.54,-0.55
"ECE1","PIAS1",NA,NA,NA
"ECE1","PIAS2",NA,NA,NA
"ECE1","PIAS3",NA,NA,NA
"ECE1","PIAS4",NA,NA,NA
"EHMT1","NSMCE2",2.98,2.62,-0.17
"EHMT1","PIAS1",NA,NA,NA
"EHMT1","PIAS2",NA,NA,NA
"EHMT1","PIAS3",NA,NA,NA
"EHMT1","PIAS4",NA,NA,NA
"EIF3C;EIF3CL","NSMCE2",NA,NA,NA
"EIF3C;EIF3CL","PIAS1",NA,NA,NA
"EIF3C;EIF3CL","PIAS2",0.6,3.22,0.18
"EIF3C;EIF3CL","PIAS3",NA,NA,NA
"EIF3C;EIF3CL","PIAS4",NA,NA,NA
"EIF4A3","NSMCE2",3.44,1.96,0.81
"EIF4A3","PIAS1",NA,NA,NA
"EIF4A3","PIAS2",NA,NA,NA
"EIF4A3","PIAS3",NA,NA,NA
"EIF4A3","PIAS4",NA,NA,NA
"EIF4G1","NSMCE2",NA,NA,NA
"EIF4G1","PIAS1",NA,NA,NA
"EIF4G1","PIAS2",0.49,1.98,0.36
"EIF4G1","PIAS3",NA,NA,NA
"EIF4G1","PIAS4",NA,NA,NA
"EIF4G2","NSMCE2",NA,NA,NA
"EIF4G2","PIAS1",NA,NA,NA
"EIF4G2","PIAS2",1.24,3.89,0.33
"EIF4G2","PIAS3",NA,NA,NA
"EIF4G2","PIAS4",NA,NA,NA
"ELMSAN1","NSMCE2",1.38,1.73,0.06
"ELMSAN1","PIAS1",NA,NA,NA
"ELMSAN1","PIAS2",NA,NA,NA
"ELMSAN1","PIAS3",NA,NA,NA
"ELMSAN1","PIAS4",NA,NA,NA
"EMC1","NSMCE2",NA,NA,NA
"EMC1","PIAS1",NA,NA,NA
"EMC1","PIAS2",1.05,2.59,0.14
"EMC1","PIAS3",NA,NA,NA
"EMC1","PIAS4",NA,NA,NA
"EMSY;C11orf30","NSMCE2",5.77,4.74,-0.03
"EMSY;C11orf30","PIAS1",NA,NA,NA
"EMSY;C11orf30","PIAS2",NA,NA,NA
"EMSY;C11orf30","PIAS3",NA,NA,NA
"EMSY;C11orf30","PIAS4",NA,NA,NA
"EP400","NSMCE2",NA,NA,NA
"EP400","PIAS1",NA,NA,NA
"EP400","PIAS2",1.16,1.36,0.52
"EP400","PIAS3",NA,NA,NA
"EP400","PIAS4",NA,NA,NA
"EPT1","NSMCE2",NA,NA,NA
"EPT1","PIAS1",NA,NA,NA
"EPT1","PIAS2",0.66,2.05,0.23
"EPT1","PIAS3",NA,NA,NA
"EPT1","PIAS4",NA,NA,NA
"ERCC1","NSMCE2",3.65,4.13,0.96
"ERCC1","PIAS1",NA,NA,NA
"ERCC1","PIAS2",NA,NA,NA
"ERCC1","PIAS3",NA,NA,NA
"ERCC1","PIAS4",NA,NA,NA
"ERCC4","NSMCE2",3.65,2.35,0.53
"ERCC4","PIAS1",NA,NA,NA
"ERCC4","PIAS2",NA,NA,NA
"ERCC4","PIAS3",NA,NA,NA
"ERCC4","PIAS4",NA,NA,NA
"ESF1","NSMCE2",4.37,3.73,0.71
"ESF1","PIAS1",NA,NA,NA
"ESF1","PIAS2",NA,NA,NA
"ESF1","PIAS3",NA,NA,NA
"ESF1","PIAS4",NA,NA,NA
"ETS1","NSMCE2",NA,NA,NA
"ETS1","PIAS1",6.19,2.66,0.47
"ETS1","PIAS2",NA,NA,NA
"ETS1","PIAS3",NA,NA,NA
"ETS1","PIAS4",4.41,4.12,0.16
"ETV6","NSMCE2",3.76,4.12,0.21
"ETV6","PIAS1",4.8,3.29,0.25
"ETV6","PIAS2",NA,NA,NA
"ETV6","PIAS3",NA,NA,NA
"ETV6","PIAS4",NA,NA,NA
"EXOSC10","NSMCE2",5.52,6.3,0.61
"EXOSC10","PIAS1",NA,NA,NA
"EXOSC10","PIAS2",NA,NA,NA
"EXOSC10","PIAS3",NA,NA,NA
"EXOSC10","PIAS4",NA,NA,NA
"EXOSC9","NSMCE2",4.33,5.11,1.05
"EXOSC9","PIAS1",NA,NA,NA
"EXOSC9","PIAS2",NA,NA,NA
"EXOSC9","PIAS3",NA,NA,NA
"EXOSC9","PIAS4",NA,NA,NA
"FAM111A","NSMCE2",4.19,4.2,0.75
"FAM111A","PIAS1",NA,NA,NA
"FAM111A","PIAS2",NA,NA,NA
"FAM111A","PIAS3",NA,NA,NA
"FAM111A","PIAS4",NA,NA,NA
"FAM162A","NSMCE2",NA,NA,NA
"FAM162A","PIAS1",NA,NA,NA
"FAM162A","PIAS2",0.63,2.5,-0.29
"FAM162A","PIAS3",NA,NA,NA
"FAM162A","PIAS4",NA,NA,NA
"FAM178A","NSMCE2",2.11,1.59,0.41
"FAM178A","PIAS1",NA,NA,NA
"FAM178A","PIAS2",NA,NA,NA
"FAM178A","PIAS3",NA,NA,NA
"FAM178A","PIAS4",NA,NA,NA
"FAP","NSMCE2",3.69,4.14,0.6
"FAP","PIAS1",NA,NA,NA
"FAP","PIAS2",2.92,1.58,0.01
"FAP","PIAS3",NA,NA,NA
"FAP","PIAS4",NA,NA,NA
"FOSL2","NSMCE2",3.45,3.88,0.5
"FOSL2","PIAS1",NA,NA,NA
"FOSL2","PIAS2",NA,NA,NA
"FOSL2","PIAS3",NA,NA,NA
"FOSL2","PIAS4",NA,NA,NA
"FOXM1","NSMCE2",5.93,5.9,-0.08
"FOXM1","PIAS1",3.14,5.25,-0.48
"FOXM1","PIAS2",NA,NA,NA
"FOXM1","PIAS3",NA,NA,NA
"FOXM1","PIAS4",7.26,5.26,0.15
"FRMD6","NSMCE2",2.78,2,0.1
"FRMD6","PIAS1",NA,NA,NA
"FRMD6","PIAS2",NA,NA,NA
"FRMD6","PIAS3",NA,NA,NA
"FRMD6","PIAS4",2.79,2.4,-0.1
"FTSJ3","NSMCE2",1.04,2.66,1.25
"FTSJ3","PIAS1",NA,NA,NA
"FTSJ3","PIAS2",NA,NA,NA
"FTSJ3","PIAS3",NA,NA,NA
"FTSJ3","PIAS4",NA,NA,NA
"GALNT7","NSMCE2",NA,NA,NA
"GALNT7","PIAS1",NA,NA,NA
"GALNT7","PIAS2",0.71,3.34,0.09
"GALNT7","PIAS3",NA,NA,NA
"GALNT7","PIAS4",NA,NA,NA
"GET4","NSMCE2",NA,NA,NA
"GET4","PIAS1",NA,NA,NA
"GET4","PIAS2",0.6,1.99,0.52
"GET4","PIAS3",NA,NA,NA
"GET4","PIAS4",NA,NA,NA
"GNL3","NSMCE2",4.31,5.8,0.9
"GNL3","PIAS1",NA,NA,NA
"GNL3","PIAS2",NA,NA,NA
"GNL3","PIAS3",NA,NA,NA
"GNL3","PIAS4",NA,NA,NA
"GPC4","NSMCE2",2.15,1.64,0.75
"GPC4","PIAS1",NA,NA,NA
"GPC4","PIAS2",NA,NA,NA
"GPC4","PIAS3",NA,NA,NA
"GPC4","PIAS4",NA,NA,NA
"GTF2I","NSMCE2",8.61,3.81,0.15
"GTF2I","PIAS1",7.55,4.06,0.25
"GTF2I","PIAS2",4.91,3.25,0.17
"GTF2I","PIAS3",NA,NA,NA
"GTF2I","PIAS4",8.55,8.43,0.11
"GTF2IRD1","NSMCE2",7.84,6.98,-0.02
"GTF2IRD1","PIAS1",6.72,8.08,0.26
"GTF2IRD1","PIAS2",3.67,4.08,-0.16
"GTF2IRD1","PIAS3",NA,NA,NA
"GTF2IRD1","PIAS4",7.21,5.6,0.1
"GTF3C4","NSMCE2",NA,NA,NA
"GTF3C4","PIAS1",NA,NA,NA
"GTF3C4","PIAS2",1.1,4.46,0.18
"GTF3C4","PIAS3",NA,NA,NA
"GTF3C4","PIAS4",NA,NA,NA
"GTPBP4","NSMCE2",0.46,2.19,-0.35
"GTPBP4","PIAS1",NA,NA,NA
"GTPBP4","PIAS2",NA,NA,NA
"GTPBP4","PIAS3",NA,NA,NA
"GTPBP4","PIAS4",NA,NA,NA
"GTSE1","NSMCE2",3.37,3.18,0.06
"GTSE1","PIAS1",NA,NA,NA
"GTSE1","PIAS2",NA,NA,NA
"GTSE1","PIAS3",NA,NA,NA
"GTSE1","PIAS4",NA,NA,NA
"HDAC1","NSMCE2",2.05,4.2,0.56
"HDAC1","PIAS1",2.35,2.34,0.69
"HDAC1","PIAS2",NA,NA,NA
