"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ARL8A","NSMCE2",3.16,1.45,0.889471727
"ARL8A","PIAS1",NA,NA,NA
"ARL8A","PIAS2",NA,NA,NA
"ARL8A","PIAS3",NA,NA,NA
"ARL8A","PIAS4",NA,NA,NA
"ARL8A","LAZSUL",NA,NA,NA
"ARL8A","ZNF451",NA,NA,NA
"ARL8A","ZMIZ2",NA,NA,NA
"ARMC8","NSMCE2",NA,NA,NA
"ARMC8","PIAS1",NA,NA,NA
"ARMC8","PIAS2",2.26,1.51,1.31196349
"ARMC8","PIAS3",NA,NA,NA
"ARMC8","PIAS4",NA,NA,NA
"ARMC8","LAZSUL",NA,NA,NA
"ARMC8","ZNF451",NA,NA,NA
"ARMC8","ZMIZ2",NA,NA,NA
"ARMCX1","NSMCE2",NA,NA,NA
"ARMCX1","PIAS1",NA,NA,NA
"ARMCX1","PIAS2",NA,NA,NA
"ARMCX1","PIAS3",NA,NA,NA
"ARMCX1","PIAS4",3.45,2.13,0.443023856
"ARMCX1","LAZSUL",NA,NA,NA
"ARMCX1","ZNF451",NA,NA,NA
"ARMCX1","ZMIZ2",NA,NA,NA
"ASUN","NSMCE2",NA,NA,NA
"ASUN","PIAS1",NA,NA,NA
"ASUN","PIAS2",NA,NA,NA
"ASUN","PIAS3",NA,NA,NA
"ASUN","PIAS4",3.73,5.14,0.32066845
"ASUN","LAZSUL",NA,NA,NA
"ASUN","ZNF451",NA,NA,NA
"ASUN","ZMIZ2",NA,NA,NA
"ATAD2","NSMCE2",4.34,2.4,-0.443068217
"ATAD2","PIAS1",NA,NA,NA
"ATAD2","PIAS2",NA,NA,NA
"ATAD2","PIAS3",NA,NA,NA
"ATAD2","PIAS4",5.73,5.4,0.326995921
"ATAD2","LAZSUL",NA,NA,NA
"ATAD2","ZNF451",NA,NA,NA
"ATAD2","ZMIZ2",NA,NA,NA
"ATAD5","NSMCE2",3.7,3.87,-0.379802379
"ATAD5","PIAS1",NA,NA,NA
"ATAD5","PIAS2",NA,NA,NA
"ATAD5","PIAS3",NA,NA,NA
"ATAD5","PIAS4",4.93,4.92,0.728108445
"ATAD5","LAZSUL",NA,NA,NA
"ATAD5","ZNF451",NA,NA,NA
"ATAD5","ZMIZ2",NA,NA,NA
"ATF4","NSMCE2",4.41,5.89,-0.08837487
"ATF4","PIAS1",NA,NA,NA
"ATF4","PIAS2",NA,NA,NA
"ATF4","PIAS3",NA,NA,NA
"ATF4","PIAS4",6.87,6.37,0.264755733
"ATF4","LAZSUL",NA,NA,NA
"ATF4","ZNF451",NA,NA,NA
"ATF4","ZMIZ2",NA,NA,NA
"ATF6","NSMCE2",4.9,5.9,-0.098278645
"ATF6","PIAS1",NA,NA,NA
"ATF6","PIAS2",NA,NA,NA
"ATF6","PIAS3",0.6,1.36,0.41617462
"ATF6","PIAS4",5.09,3.2,0.222482797
"ATF6","LAZSUL",NA,NA,NA
"ATF6","ZNF451",NA,NA,NA
"ATF6","ZMIZ2",NA,NA,NA
"ATF6B","NSMCE2",5.93,5.49,0.385392318
"ATF6B","PIAS1",2.42,1.48,0.81543538
"ATF6B","PIAS2",NA,NA,NA
"ATF6B","PIAS3",NA,NA,NA
"ATF6B","PIAS4",5.27,6.39,0.097219256
"ATF6B","LAZSUL",NA,NA,NA
"ATF6B","ZNF451",NA,NA,NA
"ATF6B","ZMIZ2",NA,NA,NA
"ATL1","NSMCE2",NA,NA,NA
"ATL1","PIAS1",NA,NA,NA
"ATL1","PIAS2",NA,NA,NA
"ATL1","PIAS3",NA,NA,NA
"ATL1","PIAS4",NA,NA,NA
"ATL1","LAZSUL",0.69,1.81,1.140109146
"ATL1","ZNF451",NA,NA,NA
"ATL1","ZMIZ2",NA,NA,NA
"ATL2","NSMCE2",NA,NA,NA
"ATL2","PIAS1",NA,NA,NA
"ATL2","PIAS2",NA,NA,NA
"ATL2","PIAS3",NA,NA,NA
"ATL2","PIAS4",NA,NA,NA
"ATL2","LAZSUL",0.64,2.11,1.159208013
"ATL2","ZNF451",NA,NA,NA
"ATL2","ZMIZ2",NA,NA,NA
"ATL3","NSMCE2",NA,NA,NA
"ATL3","PIAS1",NA,NA,NA
"ATL3","PIAS2",NA,NA,NA
"ATL3","PIAS3",NA,NA,NA
"ATL3","PIAS4",NA,NA,NA
"ATL3","LAZSUL",0.36,2,1.609985188
"ATL3","ZNF451",NA,NA,NA
"ATL3","ZMIZ2",NA,NA,NA
"ATP1A1","NSMCE2",NA,NA,NA
"ATP1A1","PIAS1",NA,NA,NA
"ATP1A1","PIAS2",NA,NA,NA
"ATP1A1","PIAS3",NA,NA,NA
"ATP1A1","PIAS4",NA,NA,NA
"ATP1A1","LAZSUL",0.31,1.84,2.847332919
"ATP1A1","ZNF451",NA,NA,NA
"ATP1A1","ZMIZ2",NA,NA,NA
"ATP2B1","NSMCE2",NA,NA,NA
"ATP2B1","PIAS1",NA,NA,NA
"ATP2B1","PIAS2",NA,NA,NA
"ATP2B1","PIAS3",NA,NA,NA
"ATP2B1","PIAS4",NA,NA,NA
"ATP2B1","LAZSUL",1.4,1.98,0.787493818
"ATP2B1","ZNF451",NA,NA,NA
"ATP2B1","ZMIZ2",NA,NA,NA
"ATP5B","NSMCE2",NA,NA,NA
"ATP5B","PIAS1",1.22,2.12,0.829442339
"ATP5B","PIAS2",NA,NA,NA
"ATP5B","PIAS3",NA,NA,NA
"ATP5B","PIAS4",NA,NA,NA
"ATP5B","LAZSUL",NA,NA,NA
"ATP5B","ZNF451",NA,NA,NA
"ATP5B","ZMIZ2",NA,NA,NA
"ATP5J2","NSMCE2",NA,NA,NA
"ATP5J2","PIAS1",NA,NA,NA
