GENE_NAME,Sumo,Diff,minLogP
SEC61A1,PIAS2,NA,NA
SETX,PIAS2,NA,NA
SLX4,PIAS2,NA,NA
SLX4IP,PIAS2,NA,NA
SMARCC1,PIAS2,NA,NA
SNIP1,PIAS2,NA,NA
SNW1,PIAS2,NA,NA
SOD1,PIAS2,NA,NA
SP100,PIAS2,NA,NA
SPRTN,PIAS2,NA,NA
SRRM1,PIAS2,NA,NA
SUMO1,PIAS2,NA,NA
SUMO2,PIAS2,NA,NA
SUMO3,PIAS2,NA,NA
TARDBP;TDP43,PIAS2,NA,NA
TCOF1,PIAS2,NA,NA
TERF2IP,PIAS2,NA,NA
TNRC18,PIAS2,NA,NA
TOP2A,PIAS2,NA,NA
TOP2B,PIAS2,NA,NA
TOPORS,PIAS2,NA,NA
TRIM28,PIAS2,NA,NA
TRIM33,PIAS2,NA,NA
USP39,PIAS2,NA,NA
UTP14A,PIAS2,NA,NA
UTP18,PIAS2,NA,NA
UTP3,PIAS2,NA,NA
WDR43,PIAS2,NA,NA
WDR75,PIAS2,NA,NA
WIZ,PIAS2,NA,NA
XRCC5,PIAS2,NA,NA
YEATS2,PIAS2,NA,NA
ZBTB1,PIAS2,NA,NA
ZBTB12,PIAS2,NA,NA
ZBTB2,PIAS2,NA,NA
ZBTB20,PIAS2,NA,NA
ZBTB25,PIAS2,NA,NA
ZBTB33,PIAS2,NA,NA
ZBTB38,PIAS2,NA,NA
ZBTB5,PIAS2,NA,NA
ZBTB9,PIAS2,NA,NA
ZC3H11A,PIAS2,NA,NA
ZCCHC7,PIAS2,NA,NA
ZFR,PIAS2,NA,NA
ZMYM2,PIAS2,NA,NA
ZMYM4,PIAS2,NA,NA
ZMYND8,PIAS2,NA,NA
ZNF106,PIAS2,NA,NA
ZNF131,PIAS2,NA,NA
ZNF251,PIAS2,NA,NA
ZNF280C,PIAS2,NA,NA
ZNF318,PIAS2,NA,NA
ZNF445,PIAS2,NA,NA
ZNF451,PIAS2,NA,NA
ZNF451-3,PIAS2,NA,NA
ZNF462,PIAS2,NA,NA
ZNF518A,PIAS2,NA,NA
ZNF644,PIAS2,NA,NA
ZNF687,PIAS2,NA,NA
ZNF800,PIAS2,NA,NA
ZNF827,PIAS2,NA,NA
ZNHIT6,PIAS2,NA,NA
ZXDC,PIAS2,NA,NA
ATF6,PIAS3,NA,NA
BCL11B,PIAS3,NA,NA
BCLAF1,PIAS3,NA,NA
